id,serial,quality,hardiness,fortitude,dexterity,endurance,intellect,cleverness,dependability,courage,fierceness,power,armor,sa1,sa2,ranged,used,physique,prowess,mental,psychology,aggression,kinetic.special,kinetic.effective,kinetic,energy.special,energy.effective,energy,blast.special,blast.effective,blast,heat.special,heat.effective,heat,cold.special,cold.effective,cold,electricity.special,electricity.effective,electricity,acid.special,acid.effective,acid,stun.special,stun.effective,stun
4add5c83-443e-43a5-81f2-8ed140534259,21rjqq8a,4,540,509,179,179,227,68,691,173,25,140,1,dizzy,blinding,false,c8af851d,e9b58a8f-9464-4ebb-9e46-2cfb44e9efd8,f01c6fb8-8eee-4d20-871d-2af2d7c11649,7c6e6c67-fa0a-4e92-ac87-d920d69098cd,1181eefb-d8f0-4ea6-9527-bb3833009cbf,b887d146-4173-4e63-bac9-10740514d560,48,0,48,41,0,41,48,0,48,32,0,32,40,0,40,-86,0,-86,0,0,0,0,0,0
3b274a54-0062-4d64-becd-2314ec72e77e,drq6fvcp,4,560,442,387,306,102,45,546,520,25,130,0,crippling,intimidation,false,ccf41vkj,f24979cf-3fa0-4f91-ae50-29c4bd1d3133,180bcd8d-f650-4049-9e71-213075603184,bd0bd132-a416-420a-a121-1ad3f652d40d,e3c45e7a-aeb5-4c06-9bf7-8b7e5fd7f605,90b715a0-494e-43a0-9b31-d2d0f0aa4e34,59,0,59,-62,0,-62,0,40,40,-34,0,-34,-23,0,-23,-88,0,-88,-1,0,-1,-99,0,-99
c3da9f73-22b5-459d-8dde-1857718f6d7e,o84putqr,4,485,423,421,320,120,74,764,512,31,135,0,"",intimidation,false,cdujlsnu,67be2017-92b1-4d43-b4c3-24241f267f94,07df249f-c9ef-420d-80ec-073e3f76400a,fccd4901-7c0e-48e6-8f4e-d73a483066e8,cef2ee29-a5b0-461b-9d3a-3ab3549ceb10,3a3ba4c2-4ed2-4714-8f8a-c20cd717da38,59,0,59,-28,0,-28,0,40,40,-29,0,-29,-60,0,-60,-89,0,-89,-41,0,-41,-99,0,-99
b68f1c9d-8b2e-49e5-87d5-071a833fbf81,hmqk1lf9,2,3,2,3,325,8,26,591,327,39,16,0,"","",false,cf3f2ljl,83d28fac-e6e1-40c4-bbeb-f41fb32ad5b6,e28ee32a-331a-4b1a-b62c-07b47eaf015f,202ad019-d2e4-46f5-b937-2a203085034a,f981a942-ec83-4f49-9e46-9d6bef63e3c6,9f273e1b-be1a-4e47-8190-2f8f09eea0aa,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99
62280c92-191e-406b-9e81-14e8e9687831,8reehgl4,4,220,43,69,334,15,12,695,338,25,126,0,dizzy,poison_spray,true,cfs6pgtd,64a38e0b-ac8d-4249-b838-de2a6cfe8984,72808e58-27ff-4e5f-b09a-7eee0989f54d,290aa347-c5fe-4554-8f56-b0c6ae135b43,769d0adf-1602-4352-b595-3e47896ea180,7fa308bc-09c9-47a5-9268-b74024c2cc1f,0,0,0,-64,0,-64,0,0,0,-64,0,-64,-64,0,-64,-64,0,-64,-64,0,-64,-29,0,-29
0cf9e06f-eedb-405e-a917-5071040438ca,rfbo4fi0,4,714,636,531,317,609,491,567,521,285,630,1,stunning,intimidation,true,cgknrfav,b71d6210-bcc4-4562-8240-be45d63089ec,09f8c99d-a2bd-43e2-a778-791e8862a322,9faf33a3-f73a-4251-ab72-9b229e3a4bf3,e408ce81-dc90-4f83-a1c0-003e236fafb5,c3160754-4dff-4c1c-ad0f-02cf5709c098,41,0,41,48,0,48,25,0,25,51,0,51,83,0,83,83,0,83,25,0,25,25,0,25
a9dde044-de0d-4138-8fdb-d59f0590d7ea,qvhlrubf,4,451,217,337,336,266,128,609,335,342,448,0,knockdown,open_wounds,false,cj1o2v3n,a3474610-6781-4672-9cb5-b2545e101375,86067993-824d-4b86-bacb-b53a5e8bcaf0,cf1106ed-f92a-444d-a5e1-b12fdda8ec18,7a91c98e-dcb6-4051-9310-8676de7e9825,146c1f08-31a5-4e7a-96e1-fbfa96869974,43,0,43,-22,0,-22,0,20,20,91,0,91,66,0,66,45,0,45,16,0,16,-5,0,-5
b5283a1c-dfe0-4cb9-a45d-12c8c3a01c3a,1dr7fpkh,2,402,72,361,325,376,154,326,327,378,222,0,crippling,intimidation,false,ctpoc9k2,4fd22b7f-95b8-4729-8b01-36f74e1f62ae,ecca4f5b-0667-45ed-a8b2-27b2380dc8e6,9ae649cd-86bc-414e-97cb-c7e6199d1d36,fb5253dd-e516-416e-84ef-c8122b6f3ad6,a3e72aba-286d-4cc8-b1bf-d1e21904b084,45,0,45,0,5,5,60,0,60,60,0,60,60,0,60,-99,0,-99,-99,0,-99,-99,0,-99
11a26432-3416-4e61-9949-5edb6c987a32,b71e641o,4,514,413,259,386,184,172,716,510,296,408,0,stunning,intimidation,false,d0a2o7dt,756902c8-fab2-4ce0-ac43-3b7690abafb4,1de9da0b-ba7c-49c6-921f-74e1e42826da,f96e8390-1725-4694-a56d-455b20029a01,b79e3ae7-2303-4a66-8316-72a6465509b8,7f1bf641-837f-4659-85d1-ffce16720566,40,0,40,-6,0,-6,-69,0,-69,-10,0,-10,-5,0,-5,-30,0,-30,-66,0,-66,-99,0,-99
fb235932-9e67-4d46-85ff-46cdf5ea61da,oat3dau1,4,704,695,704,521,699,692,386,302,313,710,0,blinding,stunning,true,d5j7caq6,3076fb84-2e7e-4a4c-a017-b9bc0587220c,50ff5b40-2ee9-4b75-85da-09da44d0c4ff,cae05685-1ecf-4686-8d24-1b6288878938,25e8b589-84dd-4ac9-ac43-39ea2f65b2ff,03e739d8-6c16-43a6-afa2-f45dc02e5f31,56,0,56,57,0,57,57,0,57,51,0,51,8,0,8,16,0,16,6,0,6,12,0,12
